geoid_co,tech_employment_all_estimate,share_tech,name,name_co
22117,143,0.00856082375478927,Black,"Washington Parish, LA"
22119,91,0.00689080720884446,Black,"Webster Parish, LA"
22127,21,0.0044529262086514,Black,"Winn Parish, LA"
23003,320,0.0110703660139763,White,"Aroostook County, ME"
23007,255,0.0181818181818182,White,"Franklin County, ME"
23009,328,0.011752060193479,White,"Hancock County, ME"
23011,1281,0.0210992703374895,White,"Kennebec County, ME"
23013,248,0.0125990652306442,White,"Knox County, ME"
23015,318,0.0193713450292398,White,"Lincoln County, ME"
23017,368,0.0140850461208711,White,"Oxford County, ME"
23021,91,0.0132711098147878,White,"Piscataquis County, ME"
23025,280,0.0127883078328385,White,"Somerset County, ME"
24023,272,0.0197962154294032,White,"Garrett County, MD"
26001,27,0.00787172011661808,White,"Alcona County, MI"
26007,256,0.0210994807549658,White,"Alpena County, MI"
26009,121,0.0116750289463528,White,"Antrim County, MI"
26011,35,0.00588730025231287,White,"Arenac County, MI"
26015,515,0.0179580165980891,White,"Barry County, MI"
26019,74,0.00930934708768399,White,"Benzie County, MI"
26029,119,0.00949190396426577,White,"Charlevoix County, MI"
26031,81,0.00784123910939013,White,"Cheboygan County, MI"
26035,110,0.0102373196835738,White,"Clare County, MI"
26039,92,0.018095987411487,White,"Crawford County, MI"
26041,157,0.0102964323189927,White,"Delta County, MI"
26043,232,0.0202231520223152,White,"Dickinson County, MI"
26051,109,0.0122375659593578,White,"Gladwin County, MI"
26053,99,0.015817223198594,White,"Gogebic County, MI"
26055,960,0.0201278960058706,White,"Grand Traverse County, MI"
26059,205,0.0102952993169948,White,"Hillsdale County, MI"
26061,371,0.0225463384989365,White,"Houghton County, MI"
26063,99,0.00723631313500475,White,"Huron County, MI"
26069,60,0.00651890482398957,White,"Iosco County, MI"
26071,13,0.00293387497178966,White,"Iron County, MI"
26079,62,0.00838858070626437,White,"Kalkaska County, MI"
26083,12,0.0149625935162095,White,"Keweenaw County, MI"
26103,430,0.0140905069305633,White,"Marquette County, MI"
26105,123,0.00980235894166401,White,"Mason County, MI"
26107,221,0.0129854868088607,White,"Mecosta County, MI"
26109,63,0.00590495829037398,White,"Menominee County, MI"
26113,53,0.00834645669291339,White,"Missaukee County, MI"
26119,9,0.00283018867924528,White,"Montmorency County, MI"
26129,54,0.00725513905683192,White,"Ogemaw County, MI"
26131,24,0.0118635689569946,White,"Ontonagon County, MI"
26133,77,0.00861875979404522,White,"Osceola County, MI"
26135,26,0.00936262153402953,White,"Oscoda County, MI"
26137,89,0.00778788939446972,White,"Otsego County, MI"
26141,20,0.00434121988278706,White,"Presque Isle County, MI"
26143,69,0.00870882241575161,White,"Roscommon County, MI"
26151,161,0.00921368890923658,White,"Sanilac County, MI"
26157,376,0.0165887231977411,White,"Tuscola County, MI"
26165,184,0.0130072105188746,White,"Wexford County, MI"
